customerid,isocountrycode,regularstoreid,registrationdate,unregistrationdate,gender,age,zipcode
77340000025949734,ES,ES0263,2017-11-26,"",M,56,50018
77340000025945951,ES,ES4503,2017-11-25,"",F,41,50021
77340000025945660,ES,ES0428,2017-11-25,"",M,87,50009
77340000025943914,ES,ES4504,2017-11-25,"",M,73,50009
77340000025943041,ES,ES0428,2017-11-25,"",F,44,50004
77340000025941974,ES,ES4503,2017-11-25,"",F,58,50007
77340000025940422,ES,ES0263,2017-11-25,"",F,39,50014
77340000025936542,ES,ES4504,2017-11-25,"",F,43,50003
77340000025935960,ES,ES4503,2017-11-25,"",F,59,50007
77340000025935766,ES,ES0428,2017-11-25,"",M,49,50009
77340000025935281,ES,ES0263,2017-11-25,"",F,46,50015
77340000025932274,ES,ES0263,2017-11-25,"","","",""
77340000025931207,ES,ES0428,2017-11-25,"",M,46,50012
77340000025930431,ES,ES0428,2017-11-25,"",F,76,50017
77340000025929655,ES,ES4504,2017-11-25,"",F,31,50010
77340000025929558,ES,ES4504,2017-11-25,"","","",""
77340000025929364,ES,ES4504,2017-11-25,"",F,59,50003
77340000025929267,ES,ES4504,2017-11-25,"",F,43,50297
77340000025927230,ES,ES0428,2017-11-25,"",F,42,50017
77340000025927036,ES,ES0258,2017-11-25,"",F,51,50017
77340000025926842,ES,ES4504,2017-11-25,"",F,41,50018
77340000025925484,ES,ES4504,2017-11-25,"",M,50,22003
77340000025925387,ES,ES0263,2017-11-25,"","","",""
77340000025924708,ES,ES0263,2017-11-25,"",M,45,50016
77340000025924514,ES,ES0428,2017-11-25,"",F,44,50010
77340000025924126,ES,ES4504,2017-11-25,"",M,41,50196
77340000025923544,ES,ES4503,2017-11-25,"","","",""
77340000025923350,ES,ES0428,2017-11-25,"",F,38,50012
77340000025921798,ES,ES0428,2017-11-25,"",M,63,50017
77340000025919179,ES,ES0263,2017-11-25,"",M,60,50014
77340000025918306,ES,ES0436,2017-11-25,"",F,50,50014
77340000025914135,ES,ES4504,2017-11-25,"",M,48,50001
77340000025912971,ES,ES0263,2017-11-25,"",F,58,50014
77340000025912874,ES,ES0420,2017-11-25,"",F,73,50017
77340000025912777,ES,ES0263,2017-11-25,"",F,65,50014
77340000025911322,ES,ES4504,2017-11-25,"",F,53,50003
77340000025909479,ES,ES0428,2017-11-25,"",F,70,50011
77340000025908606,ES,ES4507,2017-11-25,"",M,17,50015
77340000025907442,ES,ES4503,2017-11-25,"","","",""
77340000025905987,ES,ES0436,2017-11-25,"",M,34,50670
77340000025905696,ES,ES4504,2017-11-25,"","","",""
77340000025905308,ES,ES4504,2017-11-25,"",F,60,50018
77340000025905017,ES,ES0263,2017-11-25,"",M,43,50810
77340000025902398,ES,ES0428,2017-11-25,"",F,62,50017
77340000025899973,ES,ES4504,2017-11-25,"",F,35,50003
77340000025898906,ES,ES4503,2017-11-25,"",F,41,50021
77340000025898712,ES,ES0263,2017-11-25,"",M,47,50006
77340000025898421,ES,ES0273,2017-11-25,"",F,44,50007
77340000025897936,ES,ES4504,2017-11-25,"","","",""
77340000025896966,ES,ES4503,2017-11-25,"",M,45,50007
77340000025894832,ES,ES4503,2017-11-25,"",F,56,50018
77340000025893668,ES,ES4507,2017-11-25,"",M,46,50015
77340000025893571,ES,ES4504,2017-11-25,"","","",""
77340000025892795,ES,ES0285,2017-11-25,"",M,21,50180
77340000025890564,ES,ES0263,2017-11-25,"",F,67,50013
77340000025890370,ES,ES0428,2017-11-25,"",F,38,50022
