productid,merchandisegroup,merchandisesubgroup,isocountrycode,article,internationalarticlenumber,sectionname,familyname,categoryname,subcategoryname,merchandisefamily,weightproduct,scaleproduct,vatdescription,vatrate,agelimit,hwgdescription
1039,Surtido seco,Golosinas,ES,Orbit chicles sabores mentolados,"",ALIMENTACION SECA,"CHICLES, CARAMELO, GOLOSI",CHICLES,CHICLES,Otros productos dulces,false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
3408,Surtido seco,Cosmetic,ES,Signal dentÃ­frico,"",PERFUMERIA E HIGIENE,HIGIENE BUCAL,DENTIFRICOS,DENTIFRICOS,"Higiene bucal, afeitado",false,true,Ordinario,21.0,Keines,Surtido NF
8060,Surtido seco,Art. Limpieza,ES,Krafft Lavaparabrisas,"",ARTICULOS  RESTO,ARTICULOS  RESTO,ARTICULOS  RESTO,ARTICULOS  RESTO,Productos de limpieza y lavavajillas,false,false,Ordinario,21.0,Keines,Surtido NF
8602,Surtido seco,Cervezas / Derivados,ES,Benediktiner Cerveza de trigo sin a,"","","","","","Cerveza, combinados de cerveza",false,false,Ordinario,21.0,18,Bebidas
5701449,Frischbrot / Hot Convenience,Bake off,ES,Mona de Pascua con frutas,5701449,PASTELERIA/BOLLERIA GRANEL,PASTELERIA/BOLLERIA GRANEL,PASTELERIA/BOLLERIA GRANEL,PASTELERIA/BOLLERIA GRANEL,Otros,false,false,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
4115,Surtido seco,Cosmetic,ES,Colgate DentÃ­frico Total,"","","","","","Higiene bucal, afeitado",false,false,Ordinario,21.0,Keines,Surtido NF
5528,Surtido seco,Cervezas / Derivados,ES,Voll Damm cerveza doble malta,5703535,BEBIDAS,CERVEZA,CERVEZA,CON ALCOHOL,"Cerveza, combinados de cerveza",false,false,Ordinario,21.0,18,Bebidas
8432,Frischbrot / Hot Convenience,Bake off,ES,Pan tradicional de Granada,5701166,"","","","","Baguette, panecillos, brezel",false,true,Superreducido,4.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
51816,Frischbrot / Hot Convenience,Bake off,ES,Panecillo de queso,51816,FRESCOS PERECEDEROS,PAN FRESCO,PAN FRESCO,PAN FRESCO,"Baguette, panecillos, brezel",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
76157,Frischbrot / Hot Convenience,Bake off,ES,Hojaldrada con queso,76157,PASTELERIA/BOLLERIA GRANEL,PASTELERIA/BOLLERIA GRANEL,PASTELERIA/BOLLERIA GRANEL,PASTELERIA/BOLLERIA GRANEL,"Pasteles, bollerÃ­a",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
